exchange,timestamp,market,observed_entry_price,alpha_score,reason_group,status,window_start,deadline,max_high,min_low,time_stop_exit,mfe_net_pct,mae_net_pct,time_stop_net_pct,reason
upbit,2026-09-07T00:03:53+09:00,KRW-ZAMA,80.8,39,RSI 범위 이탈,COMPLETE,2026-09-07T00:05:00+09:00,2026-09-07T01:33:53+09:00,80.8,77.5,77.7,-0.2796,-4.3523,-4.1055,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 39점, MA5 <= MA20, RSI 39.9, %B 0.16, 저점거리 1.00%, 최근고점대비 8.42%, 반등확인 차단, 이격 안정, 1H 80.8 >= EMA20 75.5 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.44, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:03:55+09:00,KRW-NEAR,3278.0,54,RSI 범위 이탈,COMPLETE,2026-09-07T00:05:00+09:00,2026-09-07T01:33:55+09:00,3335.0,3200.0,3332.0,1.4544,-2.6525,1.3631,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 54점, MA5 <= MA20, RSI 37.7, %B 0.36, 저점거리 1.49%, 최근고점대비 3.42%, 반등확인 차단, 이격 안정, 1H 3278.0 >= EMA20 3142.2 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.39, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:03:56+09:00,KRW-PROM,7540.0,49,RSI 범위 이탈,COMPLETE,2026-09-07T00:05:00+09:00,2026-09-07T01:33:56+09:00,7750.0,7510.0,7545.0,2.4977,-0.6764,-0.2135,"1차 퀀트 관망 대기: 하드게이트 통과, 알파스코어 49점, MA5 <= MA20, RSI 51.0, %B 0.47, 저점거리 1.07%, 최근고점대비 2.12%, 반등확인 통과, 이격 안정, 1H 7540.0 >= EMA20 7265.5 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.31, 양봉=통과, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:03:57+09:00,KRW-ONDO,510.0,29,상위 추세 미달,COMPLETE,2026-09-07T00:05:00+09:00,2026-09-07T01:33:57+09:00,516.0,508.0,515.0,0.8936,-0.6707,0.698,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 29점, MA5 <= MA20, RSI 26.7, %B 0.14, 저점거리 0.59%, 최근고점대비 1.76%, 반등확인 차단, 이격 안정, 1H 510.0 < EMA20 511.2 (기준 0.998)"
upbit,2026-09-07T00:03:57+09:00,KRW-MET2,292.0,39,RSI 범위 이탈,COMPLETE,2026-09-07T00:05:00+09:00,2026-09-07T01:33:57+09:00,300.0,284.0,293.0,2.4525,-3.0117,0.0619,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 39점, MA5 <= MA20, RSI 36.4, %B 0.38, 저점거리 1.74%, 최근고점대비 2.05%, 반등확인 통과, 이격 안정, 1H 292.0 >= EMA20 278.3 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.55, 양봉=통과, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:03:58+09:00,KRW-JTO,607.0,34,RSI 범위 이탈,COMPLETE,2026-09-07T00:05:00+09:00,2026-09-07T01:33:58+09:00,635.0,604.0,623.0,4.3203,-0.7725,2.3489,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 34점, MA5 <= MA20, RSI 26.2, %B 0.14, 저점거리 0.50%, 최근고점대비 3.95%, 반등확인 차단, 이격 안정, 1H 607.0 >= EMA20 597.8 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=0.20, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:03:59+09:00,KRW-ENS,8190.0,34,상위 추세 미달,COMPLETE,2026-09-07T00:05:00+09:00,2026-09-07T01:33:59+09:00,8530.0,8175.0,8595.0,3.8602,-0.4622,4.6516,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 34점, MA5 <= MA20, RSI 26.9, %B 0.25, 저점거리 1.24%, 최근고점대비 2.01%, 반등확인 차단, 이격 안정, 1H 8190.0 < EMA20 8249.7 (기준 0.998)"
upbit,2026-09-07T00:03:59+09:00,KRW-LINK,16600.0,34,반등 미확인,COMPLETE,2026-09-07T00:05:00+09:00,2026-09-07T01:33:59+09:00,16880.0,16550.0,16850.0,1.4024,-0.58,1.2222,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 34점, MA5 <= MA20, RSI 36.4, %B 0.15, 저점거리 0.61%, 최근고점대비 1.75%, 반등확인 차단, 이격 안정, 1H 16600.0 >= EMA20 16616.8 (기준 0.998)"
upbit,2026-09-07T00:04:00+09:00,KRW-VIRTUAL,944.0,37,RSI 범위 이탈,COMPLETE,2026-09-07T00:05:00+09:00,2026-09-07T01:34:00+09:00,958.0,938.0,957.0,1.1993,-0.9134,1.0937,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 37점, MA5 <= MA20, RSI 29.8, %B 0.18, 저점거리 0.64%, 최근고점대비 2.01%, 반등확인 차단, 이격 안정, 1H 944.0 >= EMA20 941.7 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=1.90, 양봉=차단, RSI=차단, 1H MTF=통과"
upbit,2026-09-07T00:08:45+09:00,KRW-FLOCK,99.1,47,RSI 범위 이탈,COMPLETE,2026-09-07T00:10:00+09:00,2026-09-07T01:38:45+09:00,101.0,96.8,98.7,1.6323,-2.594,-0.6821,"1차 퀀트 관망 대기: 하드게이트 차단, 알파스코어 47점, MA5 <= MA20, RSI 46.9, %B 0.22, 저점거리 4.43%, 최근고점대비 6.96%, 반등확인 차단, 이격 안정, 1H 99.5 >= EMA20 95.7 (기준 0.998), 모멘텀 돌파 직전 4봉 고점 돌파=차단, 거래량배수=1.07, 양봉=차단, RSI=차단, 1H MTF=통과"
